Date,Team,TeamLocation,TeamScore,Opponent,OpponentScore,OpponentLocation,NeutralSite,TeamResult,TeamDifferential,OpponentDifferential,
11/08/13,Illinois,Home,80,Alabama St,63,Away,,Win,2.09,2,
11/08/13,Mississippi St,Home,71,Prairie View,56,Away,,Win,-3.61,-7.68,
11/08/13,Kansas,Home,80,ULM,63,Away,,Win,9.15,-4.19,
11/08/13,Binghamton,Home,74,Loyola MD,79,Away,,Loss,-10,-6.7,
11/08/13,Marshall,Home,85,S Carolina St,69,Away,,Win,0.3,-9.9,
11/08/13,Marquette,Home,63,Southern Univ,56,Away,,Win,3.47,5.38,
11/08/13,TX Pan American,Home,73,Sam Houston St,77,Away,,Loss,-5.03,6.03,
11/08/13,West Virginia,Home,77,Mt St Mary's,62,Away,,Win,4.25,-1.72,
11/08/13,SF Austin,Home,90,UT Tyler,64,Away,,Win,13.85,0,
11/08/13,Samford,Home,79,Martin Meth,62,Away,,Win,-5.88,0,
11/08/13,Mississippi,Home,69,Troy,54,Away,,Win,2.48,-1.61,
11/08/13,Texas Tech,Home,76,Houston Bap,61,Away,,Win,0,-9.1,
11/08/13,Loyola-Chicago,Home,76,WI Milwaukee,72,Away,,Win,-2.94,0.47,
11/08/13,Liberty,Home,74,Randolph Col,53,Away,,Win,0.5,0,
11/08/13,N Illinois,Home,66,NE Omaha,68,Away,,Loss,-0.63,5.4,
11/08/13,N Dakota St,Home,93,Viterbo,49,Away,,Win,11.03,0,
11/08/13,Utah,Home,128,Evergreen St,44,Away,,Win,11.53,0,
11/08/13,UAB,Home,76,Columbus St,56,Away,,Win,2.77,0,
11/08/13,Auburn,Home,76,Nicholls St,54,Away,,Win,-0.37,-4.41,
11/08/13,Arizona St,Home,96,UMBC,61,Away,,Win,6.16,-7.23,
11/08/13,Arkansas,Home,99,Edwardsville,65,Away,,Win,9.03,-3.23,
11/08/13,Kennesaw,Home,57,Youngstown St,73,Away,,Loss,-9.29,2.84,
11/08/13,Furman,Home,66,Sewanee,49,Away,,Win,-8.03,0,
11/08/13,Elon,Home,114,Wash & Lee,64,Away,,Win,3.47,0,
11/08/13,Oklahoma St,Home,117,MS Valley St,62,Away,,Win,11.24,-9.03,
11/08/13,Creighton,Home,107,Alcorn St,61,Away,,Win,12.12,-3.74,
11/08/13,Texas A&M,Home,82,Buffalo,58,Away,,Win,1.72,6.21,
11/08/13,Villanova,Home,75,Lafayette,59,Away,,Win,11.94,-3.32,
11/08/13,Bradley,Home,72,Jacksonville St,65,Away,,Win,-2.41,-5.23,
11/08/13,Florida St,Home,91,Jacksonville,67,Away,,Win,4.56,-5.13,
11/08/13,East Carolina,Home,97,NC Wesleyan,51,Away,,Win,2.42,0,
11/08/13,Missouri,Home,89,SE Louisiana,53,Away,,Win,3.39,-2.9,
11/08/13,Houston,Home,76,Texas St,70,Away,,Win,-1.94,-4.65,
11/08/13,Portland,Home,100,UC Davis,83,Away,,Win,3.03,-7.55,
11/08/13,CS Northridge,Home,86,Hope Intl,74,Away,,Win,-0.66,0,
11/08/13,Hawaii,Home,85,Tennessee St,55,Away,,Win,6.74,-6.8,
11/08/13,CS Sacramento,Home,73,UC Santa Cruz,43,Away,,Win,-0.3,0,
11/08/13,Miami FL,Home,62,St Francis NY,66,Away,,Loss,1.97,2.13,
11/08/13,San Diego,Home,74,S Dakota St,70,Away,,Win,2.09,4,
11/08/13,Santa Barbara,Home,76,Hawaii Pacific,50,Away,,Win,5.9,0,
11/08/13,San Francisco,Home,95,Notre Dame CA,57,Away,,Win,3.75,0,
11/08/13,W Carolina,Home,77,Wittenberg,55,Away,,Win,1.62,0,
11/08/13,North Texas,Home,72,Northwood TX,67,Away,,Win,-2.66,0,
11/08/13,Santa Clara,Home,84,Bethesda,39,Away,,Win,0.45,0,
11/08/13,Charleston So,Home,130,Johnson Bib,51,Away,,Win,9.06,0,
11/08/13,California,Home,83,Coppin St,64,Away,,Win,2.88,-5.38,
11/08/13,St Mary's CA,Home,83,Louisiana Tech,70,Away,,Win,6.24,15.65,
11/08/13,UCLA,Home,72,Drexel,67,Away,,Win,11.06,1.47,
11/08/13,UC Irvine,Home,97,Fresno St,98,Away,,Loss,7.38,1.91,
11/08/13,North Carolina,Home,84,Oakland,61,Away,,Win,7.25,-3,
11/08/13,Valparaiso,Home,77,Murray St,74,Away,,Win,4.79,4.52,
11/08/13,Kansas St,Home,58,N Colorado,60,Away,,Loss,4,4.1,
11/08/13,Southern Utah,Home,85,Arizona Chr,78,Away,,Win,-15.9,0,
11/08/13,UCF,Home,97,Tampa,72,Away,,Win,-0.9,0,
11/08/13,TAM C. Christi,Home,79,Huston-Tillot,45,Away,,Win,1.75,0,
11/08/13,Southern Miss,Home,67,Jackson St,51,Away,,Win,9.36,-2.9,
11/08/13,Northwestern LA,Home,92,Le Tourneau,76,Away,,Win,2.81,0,
11/08/13,Stanford,Home,72,Bucknell,68,Away,,Win,4.88,1.83,
11/08/13,Arizona,Home,73,Cal Poly SLO,62,Away,,Win,11.97,-0.22,
11/08/13,Washington St,Home,62,CS Bakersfield,56,Away,,Win,-1.52,0.78,
11/08/13,Boise St,Home,116,UT Arlington,87,Away,,Win,7.18,-1.41,
11/08/13,Utah St,Home,78,USC,65,Away,,Win,2.59,-4.75,
11/08/13,Tulane,Home,75,NJIT,64,Away,,Win,-5.82,1.66,
11/08/13,Iowa,Home,82,UNC Wilmington,39,Away,,Win,11.91,-6.34,
11/08/13,Utah Valley,Home,74,IUPUI,66,Away,,Win,2.61,-8.03,
11/08/13,Rhode Island,Home,97,Maine,77,Away,,Win,-0.28,-10.79,
11/08/13,BYU,Home,81,Weber St,72,Away,,Win,7.18,6.73,
11/08/13,San Diego St,Home,77,UC Riverside,41,Away,,Win,13.97,-3.13,
11/08/13,Wyoming,Home,78,TN Martin,60,Away,,Win,3.47,-7.16,
11/08/13,Austin Peay,Home,84,Oakland City,69,Away,,Win,-2.7,0,
11/08/13,Chattanooga,Home,119,Covenant,56,Away,,Win,1.97,0,
11/08/13,Providence,Home,82,Boston College,78,Away,,Win,3.68,-4.91,
11/08/13,UNLV,Home,67,Portland St,48,Away,,Win,5.79,1,
11/08/13,Florida,Home,77,North Florida,69,Away,,Win,12.79,-1.84,
11/08/13,VMI,Home,82,Citadel,71,Away,,Win,6.03,-7.33,
11/08/13,Nevada,Home,78,Pacific,80,Away,,Loss,-1.5,-2.07,
11/08/13,E Michigan,Home,77,Albion,45,Away,,Win,4.63,0,
11/08/13,Cincinnati,Home,74,NC Central,61,Away,,Win,10.39,15.39,
11/08/13,George Mason,Home,63,American Univ,60,Away,,Win,-2.55,5.31,
11/08/13,Fordham,Home,87,St Francis PA,67,Away,,Win,-6.29,-7.55,
11/08/13,NC State,Home,98,Appalachian St,77,Away,,Win,1.32,-3.93,
11/08/13,G Washington,Home,76,Radford,54,Away,,Win,6.53,4.48,
11/08/13,C Michigan,Home,101,Manchester,49,Away,,Win,-1.35,0,
11/08/13,Akron,Home,72,Coastal Car,63,Away,,Win,1.88,4.33,
11/08/13,St Louis,Home,87,SE Missouri St,64,Away,,Win,8.78,4.38,
11/08/13,Minnesota,Home,81,Lehigh,62,Away,,Win,3.42,-2.69,
11/08/13,Nebraska,Home,79,FL Gulf Coast,55,Away,,Win,2.13,5,
11/08/13,Missouri KC,Home,76,Emporia St,81,Away,,Loss,-7,0,
